,rating,name,url,area_genre,dinner_price,lunch_price,holiday
33,3.83,ショコラティエ パレ ド オール 東京,https://tabelog.com/tw/tokyo/A1302/A130201/13038473/,"二重橋前車站 / 巧克力, 咖啡店, 蛋糕","JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999",-
34,3.83,Curry Spice Gelateria KALPASI,https://tabelog.com/tw/tokyo/A1318/A131802/13247887/,"下北澤車站 / 咖喱, 意式冰淇淋/冰淇淋, 亞洲料理, 民族料理","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期四
35,3.83,アトリエコータ 神楽坂店,https://tabelog.com/tw/tokyo/A1309/A130905/13136823/,"神樂坂車站 / 蛋糕, 咖啡店",-,"JPY 2,000 - JPY 2,999",-
36,3.83,PATISSERIE ASAKO IWAYANAGI,https://tabelog.com/tw/tokyo/A1317/A131715/13189509/,"等等力車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999",-,"星期一, 星期二"
37,3.83,スタイルズケイクス＆カンパニー,https://tabelog.com/tw/tokyo/A1310/A131003/13125138/,神保町車站 / 蛋糕,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期三, 星期六, 星期日, 節假日"
38,3.83,パティスリー ユウ ササゲ,https://tabelog.com/tw/tokyo/A1318/A131809/13155662/,"千歲烏山車站 / 蛋糕, 麵包",-,- JPY 999,"星期二, 星期三"
39,3.83,雅庵,https://tabelog.com/tw/tokyo/A1317/A131701/13073813/,中目黑車站 / 日式點心,-,- JPY 999,星期二
40,3.82,VIRON 渋谷店,https://tabelog.com/tw/tokyo/A1303/A130301/13004626/,"澀谷車站 / 麵包, 三明治, 蛋糕",- JPY 999,- JPY 999,-
41,3.82,シュークリー,https://tabelog.com/tw/tokyo/A1302/A130204/13050996/,"人形町車站 / 蛋糕, 甜食",- JPY 999,- JPY 999,星期日
42,3.82,御菓子処 さゝま,https://tabelog.com/tw/tokyo/A1310/A131003/13000627/,神保町車站 / 日式點心,- JPY 999,- JPY 999,"星期日, 節假日"
43,3.82,レピキュリアン,https://tabelog.com/tw/tokyo/A1320/A132001/13005891/,"吉祥寺車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二, 星期三, 星期四, 星期五"
44,3.82,志”満ん草餅,https://tabelog.com/tw/tokyo/A1312/A131203/13002934/,"曳舟車站 / 日式點心, 日式甜點店, 銅鑼燒",- JPY 999,- JPY 999,星期三
45,3.82,トラヤ トウキョウ,https://tabelog.com/tw/tokyo/A1302/A130201/13147493/,"東京車站 / 咖啡店, 日式點心, 刨冰",-,"JPY 1,000 - JPY 1,999",-
46,3.82,パティスリー プレジール,https://tabelog.com/tw/tokyo/A1317/A131706/13045491/,"西太子堂車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999",-,-
47,3.82,シヅカ洋菓子店 自然菓子研究所 銀座5丁目店,https://tabelog.com/tw/tokyo/A1301/A130101/13270326/,銀座車站 / 西式甜點,"JPY 5,000 - JPY 5,999",-,-
48,3.82,パティシエ・ヒロ ヤマモト,https://tabelog.com/tw/tokyo/A1312/A131205/13121679/,"篠崎車站 / 蛋糕, 馬卡龍","JPY 1,000 - JPY 1,999",-,"星期二, 星期三"
49,3.81,ジェラテリア シンチェリータ,https://tabelog.com/tw/tokyo/A1319/A131905/13108556/,"阿佐谷車站 / 意式冰淇淋/冰淇淋, 咖啡店",- JPY 999,- JPY 999,-
50,3.81,レ・カカオ 本店,https://tabelog.com/tw/tokyo/A1316/A131603/13203619/,"五反田車站 / 巧克力, 蛋糕, 西式甜點",- JPY 999,- JPY 999,星期二
51,3.81,マテリエル,https://tabelog.com/tw/tokyo/A1322/A132203/13110008/,"大山車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期三, 星期四"
52,3.81,クレープリー チロル,https://tabelog.com/tw/tokyo/A1318/A131814/13205650/,祖師谷大藏車站 / 可麗餅/法式薄餅,-,"JPY 1,000 - JPY 1,999","星期一, 星期四"
53,3.81,Patisserie JUN UJITA,https://tabelog.com/tw/tokyo/A1317/A131702/13133033/,"都立大學車站 / 蛋糕, 咖啡店",- JPY 999,"JPY 1,000 - JPY 1,999","星期一, 星期二"
54,3.81,パティスリー ラ・グリシーヌ,https://tabelog.com/tw/tokyo/A1317/A131705/13150993/,"池尻大橋車站 / 蛋糕, 甜食","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期一
55,3.81,徳太樓,https://tabelog.com/tw/tokyo/A1311/A131102/13008704/,淺草車站 / 日式點心,-,-,星期日
56,3.81,菓匠 菊家,https://tabelog.com/tw/tokyo/A1306/A130602/13006970/,表參道車站 / 日式點心,-,-,"星期一, 星期日, 節假日"
57,3.81,As,https://tabelog.com/tw/tokyo/A1303/A130302/13279065/,"惠比壽車站 / 西式甜點, 咖啡店, 甜食",-,"JPY 8,000 - JPY 9,999",-
58,3.80,千葉屋,https://tabelog.com/tw/tokyo/A1311/A131102/13008691/,"淺草車站 / 烤地瓜/拔絲地瓜, 日式點心, 甜食",- JPY 999,- JPY 999,"星期一, 星期二"
59,3.80,ラ･メゾン･デュ･ショコラ 丸の内店,https://tabelog.com/tw/tokyo/A1301/A130102/13000036/,"有樂町車站 / 巧克力, 蛋糕, 咖啡店",-,"JPY 3,000 - JPY 3,999",-
60,3.80,ロートンヌ 秋津本店,https://tabelog.com/tw/tokyo/A1328/A132806/13005967/,"新秋津車站 / 蛋糕, 馬卡龍, 西式甜點",- JPY 999,- JPY 999,星期三
61,3.80,ブーランジェリー ボネダンヌ,https://tabelog.com/tw/tokyo/A1317/A131705/13158722/,"三軒茶屋車站 / 麵包, 西式甜點, 三明治","JPY 1,000 - JPY 1,999",-,"星期一, 星期二, 星期三"
62,3.80,ブロンディール,https://tabelog.com/tw/tokyo/A1321/A132103/13184127/,"石神井公園車站 / 蛋糕, 麵包","JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999","星期一, 星期日"
63,3.79,亀十,https://tabelog.com/tw/tokyo/A1311/A131102/13003655/,"淺草車站 / 日式點心, 銅鑼燒, 大福",-,- JPY 999,-
64,3.79,たいやき わかば,https://tabelog.com/tw/tokyo/A1309/A130902/13000848/,"四谷車站 / 鯛魚燒・大判燒, 咖啡店, 日式點心",- JPY 999,- JPY 999,"星期三, 星期日"
65,3.79,エシレ・メゾン デュ ブール,https://tabelog.com/tw/tokyo/A1302/A130201/13096439/,"二重橋前車站 / 蛋糕, 麵包, 意式冰淇淋/冰淇淋","JPY 3,000 - JPY 3,999","JPY 3,000 - JPY 3,999",-
66,3.79,たいやき ひいらぎ,https://tabelog.com/tw/tokyo/A1303/A130302/13026096/,"惠比壽車站 / 鯛魚燒・大判燒, 軟冰淇淋",- JPY 999,- JPY 999,-
67,3.79,Toshi Yoroizuka Mid Town,https://tabelog.com/tw/tokyo/A1307/A130701/13037382/,"六本木車站 / 蛋糕, 西式甜點","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
68,3.79,空也,https://tabelog.com/tw/tokyo/A1301/A130101/13002591/,銀座車站 / 日式點心,"JPY 1,000 - JPY 1,999",-,"星期日, 節假日"
69,3.79,Mont St. Clair,https://tabelog.com/tw/tokyo/A1317/A131703/13003221/,"自由丘車站 / 蛋糕, 馬卡龍, 麵包","JPY 1,000 - JPY 1,999",-,"星期二, 星期三"
70,3.79,黒松本舗 草月,https://tabelog.com/tw/tokyo/A1323/A132304/13003793/,"東十條車站 / 日式點心, 銅鑼燒",- JPY 999,- JPY 999,星期二
71,3.79,すずめや,https://tabelog.com/tw/tokyo/A1305/A130501/13009255/,"池袋車站 / 日式點心, 銅鑼燒",-,- JPY 999,"星期一, 星期二, 星期三, 星期日"
72,3.79,ル パン ドゥ ジョエル・ロブション 渋谷ヒカリエShinQs店,https://tabelog.com/tw/tokyo/A1303/A130301/13140263/,"澀谷車站 / 麵包, 三明治, 西式甜點","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
73,3.79,うさぎや 本店,https://tabelog.com/tw/tokyo/A1302/A130202/13003250/,"日本橋車站 / 日式點心, 銅鑼燒",-,- JPY 999,"星期六, 星期日, 節假日"
74,3.79,群林堂,https://tabelog.com/tw/tokyo/A1323/A132302/13003816/,"護國寺車站 / 日式點心, 大福",-,- JPY 999,"星期一, 星期日"
75,3.79,松島屋,https://tabelog.com/tw/tokyo/A1314/A131403/13007137/,"泉岳寺車站 / 日式點心, 大福",- JPY 999,- JPY 999,星期日
76,3.79,瑞穂,https://tabelog.com/tw/tokyo/A1306/A130601/13001154/,"明治神宮前車站 / 日式點心, 大福",-,- JPY 999,-
77,3.79,メゾン・ダーニ,https://tabelog.com/tw/tokyo/A1316/A131602/13183428/,"白金高輪車站 / 蛋糕, 麵包",-,"JPY 1,000 - JPY 1,999",星期二
78,3.78,西洋菓子 しろたえ,https://tabelog.com/tw/tokyo/A1308/A130801/13002850/,"赤坂見附車站 / 蛋糕, 咖啡店, 咖啡館",-,"JPY 1,000 - JPY 1,999","星期一, 星期日"
79,3.78,浪花家総本店,https://tabelog.com/tw/tokyo/A1307/A130702/13002775/,"麻布十番車站 / 日式甜點店, 鯛魚燒・大判燒, 炒麵",-,- JPY 999,"星期二, 星期三"
80,3.78,柳屋,https://tabelog.com/tw/tokyo/A1302/A130204/13003065/,"人形町車站 / 鯛魚燒・大判燒, 意式冰淇淋/冰淇淋",-,- JPY 999,"星期一, 星期日"
81,3.78,ラ ブティック ドゥ ジョエル・ロブション 丸の内ブリックスクエア店,https://tabelog.com/tw/tokyo/A1302/A130201/13096409/,"二重橋前車站 / 麵包, 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
82,3.78,ノワ・ドゥ・ブール 新宿伊勢丹店,https://tabelog.com/tw/tokyo/A1304/A130401/13124571/,"新宿三丁目車站 / 蛋糕, 巧克力",- JPY 999,- JPY 999,-
83,3.78,和栗や 谷中店,https://tabelog.com/tw/tokyo/A1311/A131106/13130539/,"千馱木車站 / 甜食, 咖啡店, 意式冰淇淋/冰淇淋","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
84,3.78,ナタ・デ・クリスチアノ,https://tabelog.com/tw/tokyo/A1318/A131810/13153384/,"代代木公園車站 / 甜食, 麵包, 蛋糕",- JPY 999,- JPY 999,-
85,3.78,ハリッツ 上原店,https://tabelog.com/tw/tokyo/A1318/A131811/13023466/,"代代木上原車站 / 甜甜圈, 咖啡店, 西式甜點","JPY 1,000 - JPY 1,999",- JPY 999,星期日
86,3.78,ツッカベッカライ カヤヌマ,https://tabelog.com/tw/tokyo/A1308/A130802/13002756/,"溜池山王車站 / 蛋糕, 西式甜點","JPY 3,000 - JPY 3,999",-,"星期一, 星期日, 節假日"
87,3.78,ラ ブティック ドゥ ジョエル・ロブション 六本木ヒルズ店,https://tabelog.com/tw/tokyo/A1307/A130701/13020237/,"六本木車站 / 麵包, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
88,3.78,たちばな,https://tabelog.com/tw/tokyo/A1301/A130103/13022189/,新橋車站 / 日式點心,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期日, 節假日"
89,3.78,うさぎや 中央通り店,https://tabelog.com/tw/tokyo/A1302/A130202/13041161/,"日本橋車站 / 日式點心, 銅鑼燒",- JPY 999,-,星期日
90,3.78,ラ ブティック ドゥ ジョエル・ロブション 恵比寿ガーデンプレイス店,https://tabelog.com/tw/tokyo/A1303/A130302/13014064/,"惠比壽車站 / 麵包, 蛋糕, 三明治","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
91,3.78,ちもと,https://tabelog.com/tw/tokyo/A1317/A131702/13003218/,"都立大學車站 / 日式點心, 日式甜點店, 刨冰","JPY 1,000 - JPY 1,999",- JPY 999,"星期三, 星期四"
92,3.78,ロートンヌ 中野店,https://tabelog.com/tw/tokyo/A1321/A132101/13118933/,"新江古田車站 / 蛋糕, 咖啡店, 麵包","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
93,3.77,ひみつ堂,https://tabelog.com/tw/tokyo/A1311/A131106/13126796/,"日暮里車站 / 刨冰, 日式甜點店","JPY 2,000 - JPY 2,999","JPY 1,000 - JPY 1,999",星期一
94,3.77,自家焙煎珈琲みじんこ,https://tabelog.com/tw/tokyo/A1310/A131002/13126204/,"湯島車站 / 咖啡店, 布丁","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
95,3.77,フルーツパーラーゴトー,https://tabelog.com/tw/tokyo/A1311/A131102/13095672/,"淺草車站 / 水果聖代, 咖啡店, 刨冰","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期三, 星期四"
96,3.77,メゾン ランドゥメンヌ 麻布台,https://tabelog.com/tw/tokyo/A1307/A130701/13180316/,"六本木一丁目車站 / 麵包, 西式甜點, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
97,3.77,ザ マンダリン オリエンタル グルメショップ,https://tabelog.com/tw/tokyo/A1302/A130202/13022977/,"三越前車站 / 蛋糕, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
98,3.77,パティスリー レザネフォール 恵比寿本店,https://tabelog.com/tw/tokyo/A1303/A130302/13149501/,代官山車站 / 蛋糕,- JPY 999,- JPY 999,-
99,3.77,エディアールベーカリー 新宿本店,https://tabelog.com/tw/tokyo/A1304/A130401/13012061/,"新宿三丁目車站 / 麵包, 咖啡店, 蛋糕",- JPY 999,- JPY 999,-
100,3.77,クリオロ 中目黒店,https://tabelog.com/tw/tokyo/A1317/A131701/13077927/,"中目黑車站 / 蛋糕, 巧克力, 馬卡龍","JPY 1,000 - JPY 1,999",-,-
101,3.77,清寿軒,https://tabelog.com/tw/tokyo/A1302/A130204/13213772/,"小傳馬町車站 / 日式點心, 銅鑼燒",-,- JPY 999,"星期六, 星期日, 節假日"
102,3.77,カカオサンパカ 丸の内本店,https://tabelog.com/tw/tokyo/A1302/A130201/13096438/,"二重橋前車站 / 巧克力, 軟冰淇淋","JPY 2,000 - JPY 2,999","JPY 2,000 - JPY 2,999",-
103,3.77,ル・グルニエ・ア・パン 麹町店,https://tabelog.com/tw/tokyo/A1308/A130803/13011374/,"半藏門車站 / 麵包, 三明治, 蛋糕",- JPY 999,- JPY 999,-
104,3.77,梅むら,https://tabelog.com/tw/tokyo/A1311/A131102/13008698/,"淺草車站 / 日式甜點店, 刨冰, 日式點心",- JPY 999,- JPY 999,星期日
105,3.77,フィオレンティーナ ペストリーブティック,https://tabelog.com/tw/tokyo/A1307/A130701/13060521/,"六本木車站 / 蛋糕, 麵包, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
106,3.77,パティスリー ラブリコチエ,https://tabelog.com/tw/tokyo/A1319/A131904/13100828/,"高圓寺車站 / 蛋糕, 咖啡店",- JPY 999,"JPY 1,000 - JPY 1,999","星期一, 星期二"
107,3.77,アディクト オ シュクル,https://tabelog.com/tw/tokyo/A1317/A131702/13171753/,"都立大學車站 / 蛋糕, 咖啡店, 麵包",- JPY 999,- JPY 999,"星期二, 星期三"
108,3.77,パティスリー イル・プルー・シュル・ラ・セーヌ,https://tabelog.com/tw/tokyo/A1303/A130303/13001912/,代官山車站 / 蛋糕,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二, 星期三, 星期四, 星期日"
109,3.77,ラ・ヴィエイユ・フランス 本店,https://tabelog.com/tw/tokyo/A1318/A131809/13043939/,"千歲烏山車站 / 蛋糕, 麵包",- JPY 999,- JPY 999,星期二
110,3.77,パーラー ローレル,https://tabelog.com/tw/tokyo/A1317/A131715/13003097/,"九品佛車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期四
111,3.77,ア コテ パティスリー,https://tabelog.com/tw/tokyo/A1316/A131602/13051424/,"白金台車站 / 西式甜點, 蛋糕, 巧克力",-,"JPY 1,000 - JPY 1,999",星期日
112,3.77,スタア・バー・ギンザ,https://tabelog.com/tw/tokyo/A1301/A130101/13002270/,"銀座一丁目車站 / 酒吧, 刨冰","JPY 6,000 - JPY 7,999",-,-
113,3.76,茶亭 羽當,https://tabelog.com/tw/tokyo/A1303/A130301/13001169/,"澀谷車站 / 咖啡館, 咖啡店, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
114,3.76,目白 志むら,https://tabelog.com/tw/tokyo/A1305/A130502/13003855/,"目白車站 / 日式甜點店, 刨冰, 日式點心","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期日
115,3.76,浅草浪花家,https://tabelog.com/tw/tokyo/A1311/A131102/13120735/,"淺草車站 / 鯛魚燒・大判燒, 日式甜點店, 刨冰","JPY 1,000 - JPY 1,999",- JPY 999,星期二
116,3.76,和kitchen かんな,https://tabelog.com/tw/tokyo/A1317/A131706/13156812/,"三軒茶屋車站 / 刨冰, 創作料理",-,"JPY 1,000 - JPY 1,999",星期三
117,3.76,フレンチ パウンド ハウス 大和郷本店,https://tabelog.com/tw/tokyo/A1323/A132301/13003828/,"巢鴨車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
118,3.76,竹むら,https://tabelog.com/tw/tokyo/A1310/A131002/13000342/,"淡路町車站 / 日式甜點店, 刨冰, 日式點心",- JPY 999,- JPY 999,"星期一, 星期日, 節假日"
119,3.76,小ざさ,https://tabelog.com/tw/tokyo/A1320/A132001/13005817/,吉祥寺車站 / 日式點心,- JPY 999,-,星期二
120,3.76,チャイブレイク,https://tabelog.com/tw/tokyo/A1320/A132001/13098849/,"吉祥寺車站 / 咖啡店, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期二
121,3.76,十一房珈琲店,https://tabelog.com/tw/tokyo/A1301/A130101/13007721/,"銀座一丁目車站 / 咖啡館, 蛋糕",- JPY 999,- JPY 999,-
122,3.76,クリオロ 本店,https://tabelog.com/tw/tokyo/A1322/A132202/13194959/,"小竹向原車站 / 蛋糕, 西式甜點, 麵包","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期二
123,3.76,かりんとう ゆしま花月,https://tabelog.com/tw/tokyo/A1311/A131101/13008524/,上野廣小路車站 / 日式點心,- JPY 999,-,-
124,3.76,パティスリィ ドゥ・ボン・クーフゥ 武蔵小山本店,https://tabelog.com/tw/tokyo/A1317/A131710/13032289/,"武藏小山車站 / 蛋糕, 咖啡店","JPY 4,000 - JPY 4,999",-,-
125,3.76,パティスリー カカオエット・パリ,https://tabelog.com/tw/tokyo/A1317/A131701/13039525/,"中目黑車站 / 蛋糕, 西式甜點, 咖啡店","JPY 1,000 - JPY 1,999",- JPY 999,-
126,3.76,塩野,https://tabelog.com/tw/tokyo/A1308/A130801/13002747/,"赤坂車站 / 日式點心, 銅鑼燒","JPY 1,000 - JPY 1,999",-,星期日
127,3.76,アルカション 本店,https://tabelog.com/tw/tokyo/A1321/A132103/13023168/,"保谷車站 / 蛋糕, 麵包, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
128,3.76,フジウ,https://tabelog.com/tw/tokyo/A1329/A132903/13006009/,"高幡不動車站 / 蛋糕, 咖啡店, 麵包",- JPY 999,- JPY 999,"星期二, 星期三"
129,3.75,トリコロール 本店,https://tabelog.com/tw/tokyo/A1301/A130101/13007761/,"東銀座車站 / 咖啡館, 咖啡店, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期二
130,3.75,リベルテ・パティスリー・ブーランジェリー 東京本店・吉祥寺,https://tabelog.com/tw/tokyo/A1320/A132001/13219660/,"吉祥寺車站 / 麵包, 蛋糕, 咖啡店","JPY 2,000 - JPY 2,999","JPY 1,000 - JPY 1,999",-
131,3.75,つる瀬 湯島本店,https://tabelog.com/tw/tokyo/A1311/A131101/13003616/,"湯島車站 / 日式點心, 大福, 日式甜點店",-,- JPY 999,"星期一, 節假日後"
132,3.75,ジュウニブンベーカリー 新宿店,https://tabelog.com/tw/tokyo/A1304/A130401/13220673/,"新宿車站 / 麵包, 西式甜點",- JPY 999,- JPY 999,-
133,3.75,北斎茶房,https://tabelog.com/tw/tokyo/A1312/A131201/13009563/,"錦糸町車站 / 日式甜點店, 刨冰, 釜飯","JPY 1,000 - JPY 1,999",- JPY 999,"星期一, 星期二"
134,3.75,和光ティーサロン,https://tabelog.com/tw/tokyo/A1301/A130101/13009081/,"銀座車站 / 咖啡店, 蛋糕","JPY 2,000 - JPY 2,999","JPY 3,000 - JPY 3,999",-
